h1,h2,tau1,tau2,balk_high,arrival_rate,weight_regime,w1,w2,obj_service_rate_mean,obj_service_rate_std,obj_service_rate_se,obj_service_rate_ci95,obj_slot_util_mean,obj_slot_util_std,obj_slot_util_se,obj_slot_util_ci95,c1_served_rate_mean,c1_served_rate_std,c1_served_rate_se,c1_served_rate_ci95,c2_served_rate_mean,c2_served_rate_std,c2_served_rate_se,c2_served_rate_ci95
2,2,5,9,0.3,25,w1=0.25,0.25,1.0,0.8022151206315463,0.005765306958090393,0.0010525962239625332,0.002063088598966565,228.23515625,1.1702761183113928,0.21366220950291148,0.4187779306257065,0.6413666809456283,0.006475485394823078,0.0011822564738466156,0.0023172226887393666,0.6418734503951392,0.005225647429841186,0.0009540683249643041,0.001869973916930036
2,2,5,9,0.3,50,w1=0.25,0.25,1.0,0.40021799149702014,0.002439068075651834,0.00044531086810840887,0.0008728093014924814,228.20703125,1.2576338656885035,0.2296114791066719,0.4500384990490769,0.31989160762226104,0.0030729424982955727,0.0005610399747442552,0.00109963835049874,0.32024508959145487,0.0026021953037476298,0.00047509368896552813,0.0009311836303724352
2,2,5,9,0.5,25,w1=0.25,0.25,1.0,0.8022151206315463,0.005765306958090393,0.0010525962239625332,0.002063088598966565,228.23515625,1.1702761183113928,0.21366220950291148,0.4187779306257065,0.6413666809456283,0.006475485394823078,0.0011822564738466156,0.0023172226887393666,0.6418734503951392,0.005225647429841186,0.0009540683249643041,0.001869973916930036
2,2,5,9,0.5,50,w1=0.25,0.25,1.0,0.40021799149702014,0.002439068075651834,0.00044531086810840887,0.0008728093014924814,228.20703125,1.2576338656885035,0.2296114791066719,0.4500384990490769,0.31989160762226104,0.0030729424982955727,0.0005610399747442552,0.00109963835049874,0.32024508959145487,0.0026021953037476298,0.00047509368896552813,0.0009311836303724352
2,2,5,9,0.7,25,w1=0.25,0.25,1.0,0.8022151206315463,0.005765306958090393,0.0010525962239625332,0.002063088598966565,228.23515625,1.1702761183113928,0.21366220950291148,0.4187779306257065,0.6413666809456283,0.006475485394823078,0.0011822564738466156,0.0023172226887393666,0.6418734503951392,0.005225647429841186,0.0009540683249643041,0.001869973916930036
2,2,5,9,0.7,50,w1=0.25,0.25,1.0,0.40021799149702014,0.002439068075651834,0.00044531086810840887,0.0008728093014924814,228.20703125,1.2576338656885035,0.2296114791066719,0.4500384990490769,0.31989160762226104,0.0030729424982955727,0.0005610399747442552,0.00109963835049874,0.32024508959145487,0.0026021953037476298,0.00047509368896552813,0.0009311836303724352
2,2,5,12,0.3,25,w1=0.25,0.25,1.0,0.8022151206315463,0.005765306958090393,0.0010525962239625332,0.002063088598966565,228.23515625,1.1702761183113928,0.21366220950291148,0.4187779306257065,0.6413666809456283,0.006475485394823078,0.0011822564738466156,0.0023172226887393666,0.6418734503951392,0.005225647429841186,0.0009540683249643041,0.001869973916930036
2,2,5,12,0.3,50,w1=0.25,0.25,1.0,0.40021799149702014,0.002439068075651834,0.00044531086810840887,0.0008728093014924814,228.20703125,1.2576338656885035,0.2296114791066719,0.4500384990490769,0.31989160762226104,0.0030729424982955727,0.0005610399747442552,0.00109963835049874,0.32024508959145487,0.0026021953037476298,0.00047509368896552813,0.0009311836303724352
2,2,5,12,0.5,25,w1=0.25,0.25,1.0,0.8022151206315463,0.005765306958090393,0.0010525962239625332,0.002063088598966565,228.23515625,1.1702761183113928,0.21366220950291148,0.4187779306257065,0.6413666809456283,0.006475485394823078,0.0011822564738466156,0.0023172226887393666,0.6418734503951392,0.005225647429841186,0.0009540683249643041,0.001869973916930036
2,2,5,12,0.5,50,w1=0.25,0.25,1.0,0.40021799149702014,0.002439068075651834,0.00044531086810840887,0.0008728093014924814,228.20703125,1.2576338656885035,0.2296114791066719,0.4500384990490769,0.31989160762226104,0.0030729424982955727,0.0005610399747442552,0.00109963835049874,0.32024508959145487,0.0026021953037476298,0.00047509368896552813,0.0009311836303724352
2,2,5,12,0.7,25,w1=0.25,0.25,1.0,0.8022151206315463,0.005765306958090393,0.0010525962239625332,0.002063088598966565,228.23515625,1.1702761183113928,0.21366220950291148,0.4187779306257065,0.6413666809456283,0.006475485394823078,0.0011822564738466156,0.0023172226887393666,0.6418734503951392,0.005225647429841186,0.0009540683249643041,0.001869973916930036
2,2,5,12,0.7,50,w1=0.25,0.25,1.0,0.40021799149702014,0.002439068075651834,0.00044531086810840887,0.0008728093014924814,228.20703125,1.2576338656885035,0.2296114791066719,0.4500384990490769,0.31989160762226104,0.0030729424982955727,0.0005610399747442552,0.00109963835049874,0.32024508959145487,0.0026021953037476298,0.00047509368896552813,0.0009311836303724352
